"","ID_IBGE","ID","Data.da.Apreensão","Tipo.de.local","Em.trânsito","EntVolunt","Ação","Coletivo","Cidade","UF","Região","Bioma","Defaunation","Latitude","Longitude","Código.municipio","Qtd","Grupo","Família","Espécie","Nome.comum","Species.family._weigth","Morto","ErroPreenchimento","IUCN","IBAMA","CITES.SP","CITES.FA","standard_city.x","state.x","Ano","Municipality","state.y","hunting.probability","Biome","Long","Lat","distance","dist_new","size","HPD","HDI","POV","Native_cover_1985","Native_cover_2018","natural.habitat","GLN","defaunation","roads","rivers","PA.proximity","gun.proxy","L.votes","B.votes","lights","elevation","veg.height","biomass.AG","phone.cover.area","phone.cover","HPI","phone.cover.cat","abund_log","biomass_log","hunting_prob_soc","hunting_prob_geo","hunting_prob_env","hunting.prob.calc","PRF_ratio","ratio_roads","standard_city.y"
"1",1100023,1509,"24/08/2019 12:29","vr",1,"0",1,"0","Ariquemes","RO","Norte","Amazônia",0.567196937,0,0,0,1,"ma","Cuniculidae","Cuniculus paca / Paca"," Paca",8.17,"CA","Lançou como alimento","LC","LC","III","","Ariquemes","RO",2019,"Ariquemes-RO","RO",1,"Amazonia",-6295725522,-9951890007,182148829,1935622042,4426571,2510927759,0.432,41.3,3479375428,1481810598,0.334753604,-1997564831,0.567196937,4269394489,1024085127,633550908,32954,0.208533344,0.791466656,1867063492,1652706147,7248958097,1398420706,7352863025,8659248055,0.381424399,"larger than 75%",0.75072781,2438945166,6586899915,2443385535,9499617378,0.027960722,7038461538,0.016485854,"Ariquemes"
"2",1100023,1518,"08/01/2019 23:40","vr",1,"0",1,"0","Ariquemes","RO","Norte","Amazônia",0.567196937,0,0,0,2,"ma","Cuniculidae","Cuniculus paca / Paca"," Paca",8.17,"CA","Não lançou a apreensão","LC","LC","III","","Ariquemes","RO",2019,"Ariquemes-RO","RO",1,"Amazonia",-6295725522,-9951890007,182148829,1935622042,4426571,2510927759,0.432,41.3,3479375428,1481810598,0.334753604,-1997564831,0.567196937,4269394489,1024085127,633550908,32954,0.208533344,0.791466656,1867063492,1652706147,7248958097,1398420706,7352863025,8659248055,0.381424399,"larger than 75%",0.75072781,2438945166,6586899915,2443385535,9499617378,0.027960722,7038461538,0.016485854,"Ariquemes"
"3",1100023,1493,"24/08/2019 18:51","vr",1,"0",1,"0","Ariquemes","RO","Norte","Amazônia",0.567196937,0,0,0,1,"re","Alligatoridae","NULL","",35,"CA","Lançou como alimento","NULL","NULL","NULL","II","Ariquemes","RO",2019,"Ariquemes-RO","RO",1,"Amazonia",-6295725522,-9951890007,182148829,1935622042,4426571,2510927759,0.432,41.3,3479375428,1481810598,0.334753604,-1997564831,0.567196937,4269394489,1024085127,633550908,32954,0.208533344,0.791466656,1867063492,1652706147,7248958097,1398420706,7352863025,8659248055,0.381424399,"larger than 75%",0.75072781,2438945166,6586899915,2443385535,9499617378,0.027960722,7038461538,0.016485854,"Ariquemes"
"4",1100023,4502,"06/08/2024 17:30","vr",1,"0",1,"0","Ariquemes","RO","Norte","Amazônia",0.567196937,0,0,0,1,"ma","Cuniculidae","Cuniculus paca / Paca"," Paca",8.17,"CA","","LC","LC","III","","Ariquemes","RO",2024,"Ariquemes-RO","RO",1,"Amazonia",-6295725522,-9951890007,182148829,1935622042,4426571,2510927759,0.432,41.3,3479375428,1481810598,0.334753604,-1997564831,0.567196937,4269394489,1024085127,633550908,32954,0.208533344,0.791466656,1867063492,1652706147,7248958097,1398420706,7352863025,8659248055,0.381424399,"larger than 75%",0.75072781,2438945166,6586899915,2443385535,9499617378,0.027960722,7038461538,0.016485854,"Ariquemes"
"5",1100023,1508,"21/08/2019 17:36","vr",1,"0",1,"0","Ariquemes","RO","Norte","Amazônia",0.567196937,0,0,0,1,"ma","Cuniculidae","NULL","",8.17,"CA","Não lançou a apreensão","NULL","NULL","NULL","","Ariquemes","RO",2019,"Ariquemes-RO","RO",1,"Amazonia",-6295725522,-9951890007,182148829,1935622042,4426571,2510927759,0.432,41.3,3479375428,1481810598,0.334753604,-1997564831,0.567196937,4269394489,1024085127,633550908,32954,0.208533344,0.791466656,1867063492,1652706147,7248958097,1398420706,7352863025,8659248055,0.381424399,"larger than 75%",0.75072781,2438945166,6586899915,2443385535,9499617378,0.027960722,7038461538,0.016485854,"Ariquemes"
"6",1100023,1508,"21/08/2019 17:36","vr",1,"0",1,"0","Ariquemes","RO","Norte","Amazônia",0.567196937,0,0,0,1,"re","Alligatoridae","NULL","",35,"CA","Não lançou a apreensão","NULL","NULL","NULL","II","Ariquemes","RO",2019,"Ariquemes-RO","RO",1,"Amazonia",-6295725522,-9951890007,182148829,1935622042,4426571,2510927759,0.432,41.3,3479375428,1481810598,0.334753604,-1997564831,0.567196937,4269394489,1024085127,633550908,32954,0.208533344,0.791466656,1867063492,1652706147,7248958097,1398420706,7352863025,8659248055,0.381424399,"larger than 75%",0.75072781,2438945166,6586899915,2443385535,9499617378,0.027960722,7038461538,0.016485854,"Ariquemes"
"7",1100114,1519,"02/06/2019 23:40","vr",1,"0",1,"0","Jaru","RO","Norte","Amazônia",0.53888024,0,0,0,2,"ma","Cuniculidae","Cuniculus paca / Paca"," Paca",8.17,"CA","Não lançou a apreensão","LC","LC","III","","Jaru","RO",2019,"Jaru-RO","RO",1,"Amazonia",-6258486558,-1059244806,180789326,1956801064,2944128,1748191655,0.352,52.18,1920787415,4887673454,0.166014299,-143202007,0.53888024,2832007214,6418810676,6420734083,18784,0.231545677,0.768454323,1883815029,2072951945,3814260321,1156640106,1645047237,7731802102,0.366953978,"larger than 75%",0.805879183,2499508885,6495037443,1626366725,5460927998,0.018625414,7038461538,0.024853261,"Jaru"
"8",1100155,2245,"29/08/2021 17:48","vr",1,"0",1,"0","Ouro Preto do Oeste","RO","Norte","Amazônia",0.532007103,0,0,0,1,"ma","Cuniculidae","Cuniculus paca / Paca"," Paca",8.17,"CA","","LC","LC","III","","Ouro Preto Do Oeste","RO",2021,"Ouro_Preto_do_Oeste-RO","RO",0,"Amazonia",-6217253238,-10610553,180994136,1927144733,1969.85,1799375587,0.382,48.63,1022641783,2983042752,0.151435021,-7243375073,0.532007103,21238688,5409790735,5180943365,9826,0.286397113,0.713602887,1996052632,217040747,3117322373,1117544732,2095899419,8004500441,0.364392671,"larger than 75%",0.758855893,2425938741,6276077094,1089412891,4641433512,0.012509202,7038461538,0.033139813,"Ouro Preto Do Oeste"
"9",1100205,1494,"27/11/2019 19:17","vr",1,"0",1,"0","Porto Velho","RO","Norte","Amazônia",0.617523354,0,0,0,1,"ma","NULL","NULL","",NA,"CA","Não lançou a apreensão","NULL","NULL","NULL","NULL","Porto Velho","RO",2019,"Porto_Velho-RO","RO",1,"Amazonia",-6430681433,-9153592827,182771295,1988873406,34090952,0.016102572,0.495,26.09,3253814911,2393045449,0.701959115,-8607694616,0.617523354,832217612,5628843849,7557477253,26558,0.349489796,0.650510204,1297602826,1193886317,187551342,2281691926,4270686374,9043421515,0.405011289,"larger than 75%",0.78428722,2384516701,6024218673,1879231584,2302915455,0.213972374,7038461538,0.008457477,"Porto Velho"
"10",1100205,1788,"12/08/2020 15:30","vr",1,"0",1,"1","Porto Velho","RO","Norte","Amazônia",0.617523354,0,0,0,1,"ma","Dasypodidae / Chlamyphoridae","NULL","",4.2,"CA","Não lançou a apreensão","NULL","NULL","NULL","","Porto Velho","RO",2020,"Porto_Velho-RO","RO",1,"Amazonia",-6430681433,-9153592827,182771295,1988873406,34090952,0.016102572,0.495,26.09,3253814911,2393045449,0.701959115,-8607694616,0.617523354,832217612,5628843849,7557477253,26558,0.349489796,0.650510204,1297602826,1193886317,187551342,2281691926,4270686374,9043421515,0.405011289,"larger than 75%",0.78428722,2384516701,6024218673,1879231584,2302915455,0.213972374,7038461538,0.008457477,"Porto Velho"
